,Term,Freq,Total,Category,logprob,loglift
161,informacion,17.16497025670392,41.125739772298,Topic3,-6.0097,1.0397
108,cnnee,17.84993796354452,43.89232789278847,Topic3,-5.9706,1.0137
192,erupciones,25.135923476446493,75.07253834615915,Topic3,-5.6283,0.8193
277,manana,16.379297575607843,40.995232436592765,Topic3,-6.0566,0.996
4847,spain,16.48475499626698,41.56965090773747,Topic3,-6.0502,0.9886
165,imagenes,36.27370248925709,143.64371203688785,Topic3,-5.2615,0.5372
2753,volcano,27.42991909841265,105.1405875547106,Topic3,-5.541,0.5698
924,personas,24.460115503578816,90.52263598606004,Topic3,-5.6556,0.6049
891,gafe,8.877360670188668,17.21375211153419,Topic3,-6.6691,1.2513
25,instituto,16.666069211321155,49.778112004244946,Topic3,-6.0392,0.8193
2526,registra,14.01957361730664,37.481081490048915,Topic3,-6.2122,0.9301
164,drones,19.399124779812126,68.68611112339497,Topic3,-5.8874,0.6492
1085,registrado,11.528184588548548,26.921345510862963,Topic3,-6.4078,1.0654
822,imagen,13.198201418467171,35.653294919831424,Topic3,-6.2725,0.9197
106,via,30.771821825900258,213.59387524394597,Topic3,-5.426,-0.024
99,principal,34.01974692018751,271.70694364623176,Topic3,-5.3257,-0.1643
311,magnitud,23.931714774609947,125.27860779761937,Topic3,-5.6774,0.2582
119,perros,24.410974328586853,209.1739469471087,Topic3,-5.6576,-0.2346
139,mayor,19.773039252561844,124.36065729223297,Topic3,-5.8683,0.0746
168,cenizas,18.37708016525405,123.75767829851169,Topic3,-5.9415,0.0063
296,mar,19.061587117612895,147.4466412602066,Topic3,-5.9049,-0.1323
18,coladas,18.702398879094442,135.4985560632216,Topic3,-5.924,-0.0668
1878,atrapados,18.240278414974092,120.87584690495913,Topic3,-5.949,0.0224
100,actividad,18.38388402737151,133.54008809869282,Topic3,-5.9411,-0.0694
97,derrumbe,17.088569674333947,139.66048003731174,Topic3,-6.0142,-0.1873
12,terremoto,15.585152221992198,154.87175549111976,Topic3,-6.1063,-0.3828
402,todoque,15.666699252831497,195.61902685799578,Topic3,-6.1011,-0.6111
9117,creado,4.748753715759444,5.665901170074986,Topic4,-7.25,1.7817
1474,magdalena,12.004764391150216,14.526772044732256,Topic4,-6.3225,1.7676
1473,icono,23.23738261713807,28.2288292749301,Topic4,-5.6621,1.7637
1476,matragrano,11.2600914019146,13.710709552808126,Topic4,-6.3866,1.7613
9705,estudiantes,3.217119487387822,4.04497746218809,Topic4,-7.6394,1.7293
3627,adopta,2.559431201557664,3.2364645281065605,Topic4,-7.8681,1.7236
8030,estabilizado,2.5579358773961838,3.235696155481853,Topic4,-7.8686,1.7232
10463,telemundo,2.556289541840988,3.2344783067862415,Topic4,-7.8693,1.7229
1770,pequenito,2.5566956768650653,3.235151121592656,Topic4,-7.8691,1.7229
5918,objetivo,3.7759881356370175,4.844793691038815,Topic4,-7.4792,1.709
9708,sonrisas,2.4892558566139886,3.2312904135464104,Topic4,-7.8959,1.6974
1198,soluciones,12.045521899268437,16.0818242733133,Topic4,-6.3192,1.6693
1182,olas,2.397615098303849,3.235517921740049,Topic4,-7.9334,1.6585
8872,nimpresionante,4.166153704828809,5.635551537553889,Topic4,-7.3809,1.6562
1475,maria,14.18240473399101,19.34640107412587,Topic4,-6.1558,1.6478
7442,desahucios,2.3502773076249452,3.224980204555049,Topic4,-7.9533,1.6419
425,terminar,12.931169473402036,17.89439017355205,Topic4,-6.2482,1.6334
8236,jueces,1.7461642057615312,2.422600236198165,Topic4,-8.2504,1.6308
5879,devolvio,1.7460947327363299,2.4225824169347097,Topic4,-8.2505,1.6308
5882,nunez,1.7457504812473061,2.42224042737527,Topic4,-8.2507,1.6308
5881,maniobra,1.7457047497041063,2.4221997383358906,Topic4,-8.2507,1.6307
2358,ayala,1.7458446687660667,2.422404177250049,Topic4,-8.2506,1.6307
4123,pesquero,1.7457602113628805,2.4223146407413614,Topic4,-8.2507,1.6307
6381,altisimo,1.74578628807262,2.4223523035747445,Topic4,-8.2506,1.6307
8873,nnueva,1.7457004684532533,2.422254863963301,Topic4,-8.2507,1.6307
10905,dentistas,1.7457995210298012,2.4223978902892163,Topic4,-8.2506,1.6307
4573,pala,1.7457109769780739,2.422286746176494,Topic4,-8.2507,1.6307
8669,correccion,1.74551442864347,2.4220208519388833,Topic4,-8.2508,1.6307
4124,priorizara,1.7455021686978462,2.4220576790071107,Topic4,-8.2508,1.6307
4733,puente,1.7454145976576763,2.4220597064455167,Topic4,-8.2509,1.6306
1472,gigantes,12.111462503311804,16.919733855287845,Topic4,-6.3137,1.6239
1820,tienes,13.71772243688854,21.0279583273274,Topic4,-6.1892,1.5311
1818,hombres,6.654577052754248,10.417415578660776,Topic4,-6.9125,1.5101
1453,parada,18.827770522907294,32.883630796487225,Topic4,-5.8725,1.4006
9749,atravesado,2.263655342928103,3.219650003600385,Topic4,-7.9909,1.606
51,chocolate,6.476040718897313,10.384711636302837,Topic4,-6.9397,1.486
496,quiero,14.497193433055342,26.35982830738312,Topic4,-6.1339,1.3604
9265,afp,4.18465571419592,6.498368132541635,Topic4,-7.3764,1.5181
1680,reactivan,6.631006042377475,11.216736223276271,Topic4,-6.9161,1.4326
1678,ensanchan,12.322629363554563,23.157467793737528,Topic4,-6.2964,1.3274
